latitude,longitude,name,security,strength
44.966203,-93.278044,Axis III,3,46
44.966317,-93.277995,usiw_secure_S03N108T1,3,68
44.966317,-93.277995,Jeanne d'Snarc,3,40
44.966317,-93.277995,Grawred,3,41
44.966317,-93.277995,lambruning,3,41
44.966317,-93.277995,xfinitywifi,0,43
44.966317,-93.277995,LKNEEFE,3,44
44.966317,-93.277995,trIPpy,3,42
44.966317,-93.277995,HOME-9F02,3,43
44.966317,-93.277995,myqwest6681,2,42
44.966317,-93.277995,Polluticorn,3,41
44.966317,-93.277995,2807,3,43
44.966317,-93.277995,BENTON,3,43
44.966317,-93.277995,Salama_1,3,41
44.966317,-93.277995,HOME-ED62,3,40
44.966317,-93.277995,galaxy-2.4,3,41
44.966317,-93.277995,rachelynn,3,43
44.966317,-93.277995,Stephens,1,42
44.966317,-93.277995,HomePlate55,3,41
44.966317,-93.277995,rayito777,1,42
44.966553,-93.277946,xfinitywifi,0,45
44.966553,-93.277946,Ghodd,3,50
44.966553,-93.277946,DogPound,3,42
44.966553,-93.277946,grendel,3,42
44.966553,-93.277946,HOME-5992,3,44
44.966553,-93.277946,BIP Guest,3,38
44.966553,-93.277946,Jeanne d'Snarc,3,41
44.966553,-93.277946,304,3,40
44.966553,-93.277946,hhonors,0,40
44.966553,-93.277946,HOME-951F,3,41
44.966553,-93.277946,City of Minneapolis Public WiFi,0,48
44.966675,-93.277995,CBCI-C53E-2.4,3,45
44.966675,-93.277995,rayito777,1,42
44.966675,-93.277995,lambruning,3,48
44.966675,-93.277995,HOME-9408,3,44
44.966675,-93.277995,LKNEEFE,3,47
44.966675,-93.277995,7246,3,45
44.966675,-93.277995,HOME-2C20,3,43
44.966675,-93.277995,HOME-9F82,3,42
44.966675,-93.277995,myqwest9401,1,45
44.967008,-93.278011,rayito777,1,45
44.967008,-93.278011,galaxy-2.4,3,41
44.967008,-93.278011,HOME-87F0-2.4,3,41
44.967008,-93.278011,grendel,3,43
44.967008,-93.278011,myqwest9401,1,43
44.967008,-93.278011,ForceDRC,3,43
44.967008,-93.278011,eNorton,3,42
44.967008,-93.278011,DISBITCHGOTWIFI,3,42
44.967008,-93.278011,2402,3,40
44.967008,-93.278011,Dunn-Home,3,42
44.967008,-93.278011,usiw_secure,3,70
44.967008,-93.278011,usiw_secure_S03N109T1,3,70
44.967139,-93.277995,ngHub_319451N5047E4,3,44
44.967139,-93.277995,dd-wrt,3,42
44.967139,-93.277995,HOME-2832,3,40
44.967139,-93.277995,USI Wireless,0,68
44.967139,-93.277995,Salama_1,3,38
44.967139,-93.277995,GNetwork,3,43
44.967139,-93.277995,HOME-36A4,3,44
44.967139,-93.277995,HOME-CCFD,3,43
44.967236,-93.277962,Slalom Minneapolis Guest,0,42
44.967236,-93.277962,HOME-ED62,3,40
44.967236,-93.277962,HOME-2182,3,42
44.967236,-93.277962,TheNicolletDiner,3,44
44.967236,-93.277962,HOME-2C75,3,42
44.967236,-93.277962,galaxy-2.4,3,40
44.967236,-93.277962,HOME-36A4,3,42
44.967236,-93.277962,HOME-CF2D-2.4,3,42
44.967236,-93.277962,2807,3,44
44.967236,-93.277962,eNorton,3,42
44.967236,-93.277962,HOME-0482,3,42
44.967236,-93.277962,City of Minneapolis Public WiFi,0,66
44.967236,-93.277962,USI Wireless,0,67
44.967407,-93.277962,Ontic,3,42
44.967407,-93.277962,HOME-CFB7-2.4,3,44
44.967407,-93.277962,usiw_secure_S03N108T1,3,67
44.967407,-93.277962,GNetwork,3,45
44.967407,-93.277962,Salama_1,3,41
44.967407,-93.277962,HOME-5B64-2.4,3,41
44.967407,-93.277962,NicolletGrocery,3,50
44.96779,-93.277897,ngHub_319444NP05361,3,40
44.96779,-93.277897,xfinitywifi,0,41
44.96779,-93.277897,eNorton,3,42
44.96779,-93.277897,Salama_1,3,41
44.96779,-93.277897,CBCI-C53E-2.4,3,40
44.96779,-93.277897,Ontic,3,42
44.96779,-93.277897,HOME-2182,3,41
44.96779,-93.277897,odyssey,3,42
44.96779,-93.277897,usiw_secure_S03N108T1,3,66
44.96779,-93.277897,GNetwork,3,40
44.96779,-93.277897,jmlnetwork,3,41
44.96779,-93.277897,HOME-C4F7,3,41
44.96779,-93.277897,usiw_secure_S03N162T5,3,49
44.96779,-93.277897,cladu22,3,41
44.967839,-93.277913,MuffinTopCafe,3,43
44.967839,-93.277913,HP-Print-4E-ENVY 4500 series,3,40
44.967839,-93.277913,CenturyLink0104,1,43
44.967839,-93.277913,HOME-A066,3,43
44.967839,-93.277913,imsoka,3,42
44.967839,-93.277913,7246,3,41
44.967977,-93.277897,HOME-7482,3,42
44.967977,-93.277897,pwire,3,41
44.967977,-93.277897,HOME-ABB2,3,42
44.967977,-93.277897,ThusonWifi,3,42
44.967977,-93.277897,CenturyLink7222,3,41
44.967977,-93.277897,dlink,0,52
44.967977,-93.277897,home1425,3,41
44.967977,-93.277897,2807,3,42
44.967977,-93.277897,HOME-09B0,3,42
44.967977,-93.277897,usiw_secure_S03N108T1,3,67
44.967977,-93.277897,HOME-5B64-2.4,3,43
44.967977,-93.277897,HOME-CF2D-2.4,3,43
44.968262,-93.277767,McMahon's Pub Wi-Fi,0,41
44.968262,-93.277767,MUSICBOX,3,43
44.968262,-93.277767,CenturyLink3058,3,42
44.968262,-93.277767,usiw_secure,3,67
44.968262,-93.277767,HOME-A812,3,40
44.968262,-93.277767,NicolletGrocery,3,42
44.968262,-93.277767,USI Wireless,0,41
44.968262,-93.277767,HOME-C4F7,3,42
44.968612,-93.277799,CenturyLink4991,3,43
44.968612,-93.277799,HOME-85CA,3,43
44.968612,-93.277799,Salama_1,3,45
44.968612,-93.277799,City of Minneapolis Public WiFi,0,70
44.968612,-93.277799,CenturyLink5123,3,44
44.968612,-93.277799,shenpa,3,44
44.968612,-93.277799,RuthieNet,3,43
44.968612,-93.277799,dimdim,3,72
44.968612,-93.277799,NABNET,3,43
44.968612,-93.277799,myqwest5661,3,45
44.968612,-93.277799,CenturyLink4531,3,41
44.968612,-93.277799,usiw_secure_S03N108T1,3,70
44.968612,-93.277799,ThusonWifi,3,45
44.968612,-93.277799,DEETER,3,44
44.968612,-93.277799,cladu22,3,40
44.968742,-93.277767,myqwest3626,2,42
44.968742,-93.277767,CenturyLink2845,3,44
44.968742,-93.277767,CenturyLink4043,3,45
44.968742,-93.277767,SunshineForHire,3,42
44.968742,-93.277767,HOME-7482,3,46
44.968962,-93.277799,HOME-388F-2.4,3,43
44.968962,-93.277799,Kiev,3,42
44.968962,-93.277799,CenturyLink7222,3,43
44.968962,-93.277799,MOTOROLA-2A972,3,53
44.968962,-93.277799,CenturyLink4531,3,43
44.968962,-93.277799,CenturyLink0760,3,43
44.968962,-93.277799,HOME-A812,3,45
44.968962,-93.277799,CenturyLink4055,3,42
44.968962,-93.277799,CenturyLink4991,3,44
44.968962,-93.277799,DJ,3,44
44.968962,-93.277799,myqwest2605,3,46
44.968962,-93.277799,olke2.4,3,46
44.968962,-93.277799,HP-Print-7B-Officejet Pro 8600,3,40
44.968962,-93.277799,HOME-E4E2,3,43
44.968962,-93.277799,pwire,3,44
44.968962,-93.277799,DEETER,3,44
44.969084,-93.277832,2402,3,45
44.969084,-93.277832,xfinitywifi,0,41
44.969084,-93.277832,CenturyLink3058,3,43
44.969084,-93.277832,RuthieNet,3,46
44.969466,-93.277702,NETGEAR00,3,45
44.969466,-93.277702,HOME-3492,3,45
44.969466,-93.277702,HOME-ABCF,3,44
44.969466,-93.277702,kjanz,3,42
44.969466,-93.277702,HOME-A812,3,42
44.969466,-93.277702,HOME-5512,3,44
44.969466,-93.277702,HomeWIFI,2,43
44.969466,-93.277702,HOME-388F-2.4,3,42
44.969466,-93.277702,D2-guest,0,43
44.969466,-93.277702,RuthieNet,3,40
44.969466,-93.277702,cladu22,3,41
44.969466,-93.277702,NETGEAR99,3,44
44.969466,-93.277702,HOME-5B72,3,44
44.969466,-93.277702,NETGEAR13,3,44
44.969466,-93.277702,CenturyLink4991,3,44
44.969466,-93.277702,City of Minneapolis Public WiFi,0,53
44.969466,-93.277702,WhiteGiraffe,3,43
